avg_difficulty,avg_completion,recent_pain_count,days_since_last,pain_severity_weight,target_recovery_score
4.02,0.54,1,7,1,0.388
3.05,0.41,0,3,0,0.821
4.52,0.62,2,6,1,0.279
2.84,0.43,0,7,0,0.821
4.54,0.72,1,5,0.3,0.583
3.27,0.46,0,3,0,0.819
4.9,0.85,0,3,0,0.729
1.93,0.5,0,6,0,0.914
4.46,0.95,0,5,0,0.803
3.05,0.64,1,5,0.3,0.714
4.25,0.7,0,0,0,0.766
2.23,0.71,0,2,0,0.948
1.41,0.78,0,6,0,1
3.27,0.91,1,2,0.6,0.648
3.07,0.4,0,7,0,0.858
2.79,0.55,0,3,0,0.892
3.28,0.49,1,2,0.6,0.525
1.75,0.8,0,0,0,0.948
2.97,0.46,0,0,0,0.82
4.28,0.44,0,7,0,0.725
3.16,0.82,0,3,0,0.871
3.27,1,1,7,0.3,0.733
4.82,0.79,0,3,0,0.765
3.35,0.9,0,5,0,0.835
2.62,0.85,0,6,0,0.91
2.37,0.59,2,4,0.6,0.631
3.16,0.49,0,4,0,0.806
3.18,0.41,0,2,0,0.783
3.82,0.67,0,0,0,0.784
1.33,0.48,0,2,0,0.99
4.58,0.82,0,5,0,0.76
3.42,0.5,0,1,0,0.808
3.74,0.44,1,4,0.6,0.556
2.2,0.71,0,0,0,0.971
1.57,0.88,1,2,0.6,0.71
2.93,0.64,0,6,0,0.897
3.5,0.85,0,4,0,0.828
4.09,0.7,1,5,0.3,0.63
2.08,0.51,0,5,0,0.957
3.11,0.87,0,1,0,0.88
2.69,0.61,0,4,0,0.861
3.16,0.83,0,3,0,0.858
1.5,0.56,1,7,0.3,0.843
4.13,0.55,0,5,0,0.782
2.15,0.98,0,0,0,0.987
1.89,0.82,0,5,0,0.985
2.9,0.83,1,5,1,0.465
2.32,1,1,4,0.3,0.777
2.34,0.6,0,0,0,0.946
3.78,0.56,0,5,0,0.783
4.72,0.98,0,1,0,0.792
3.02,0.86,0,0,0,0.865
4.62,0.62,0,0,0,0.726
2.71,0.83,0,6,0,0.898
4.06,0.56,0,3,0,0.785
4.75,0.96,0,3,0,0.781
2.16,0.7,0,4,0,0.898
4.62,0.65,0,2,0,0.708
2.38,0.94,0,3,0,0.958
1.38,0.51,0,4,0,0.938
2.08,0.72,0,7,0,0.935
3.89,0.86,0,0,0,0.799
2.57,0.98,0,4,0,0.965
1.62,0.57,0,6,0,0.933
4.08,0.58,1,2,0.6,0.545
3.86,0.47,0,0,0,0.804
2.24,0.56,0,7,0,0.915
4.11,0.95,1,2,1,0.388
2.68,0.71,1,1,0.6,0.611
4.6,0.45,0,2,0,0.675
2.74,0.5,0,3,0,0.87
1.43,0.84,1,2,0.6,0.727
3.76,0.48,0,4,0,0.788
4.21,0.75,0,6,0,0.769
4.43,0.43,1,4,0.6,0.469
3.19,0.6,0,3,0,0.829
1.08,0.6,0,1,0,0.97
1.04,0.68,0,6,0,1
1.76,0.59,2,0,0.3,0.762
2.52,0.48,0,2,0,0.862
3.85,0.43,0,5,0,0.746
3.86,0.85,0,1,0,0.799
2,0.55,0,2,0,0.964
1.79,0.63,3,7,0.3,0.664
3.76,0.42,1,0,0.3,0.655
1.08,0.49,1,4,0.3,0.84
1.3,0.78,0,5,0,0.979
1.92,0.84,0,0,0,0.934
1.55,0.62,2,6,0.6,0.69
2.94,0.71,0,4,0,0.887
4.24,0.89,0,3,0,0.764
4.67,0.98,1,3,0.3,0.611
2.56,0.86,0,7,0,0.925
2.02,0.9,0,2,0,0.985
3.23,0.6,1,6,0.6,0.601
3.05,0.58,1,4,0.3,0.724
4.29,0.98,0,2,0,0.82
1.42,0.77,0,6,0,1
1.32,0.45,0,5,0,1
3.03,0.57,1,6,0.6,0.629
3.45,0.94,0,4,0,0.845
3.75,0.72,0,7,0,0.783
3.17,0.96,0,4,0,0.849
4.8,0.79,2,6,0.3,0.526
1.74,0.44,0,0,0,0.941
3.53,0.58,3,1,0.6,0.454
2.25,0.73,0,3,0,0.937
2.18,0.6,0,4,0,0.957
1.35,0.87,0,0,0,1
4.09,0.65,1,0,0.6,0.511
3.73,0.91,1,7,0.6,0.589
1.66,0.7,1,2,0.3,0.827
1.83,0.42,0,3,0,0.941
1.93,0.95,0,7,0,1
3.15,0.58,0,0,0,0.803
3.9,0.52,0,6,0,0.774
4.56,0.44,0,5,0,0.734
3.13,0.53,0,1,0,0.866
1.91,0.6,0,6,0,0.949
1.04,0.56,0,0,0,0.996
4.93,0.66,0,2,0,0.719
2.28,0.75,0,4,0,0.95
3.81,0.76,2,4,0.3,0.633
2.27,0.72,0,3,0,0.947
4.53,0.57,0,1,0,0.707
4.04,0.73,0,0,0,0.79
4.31,0.63,0,6,0,0.764
4.24,0.43,1,4,0.6,0.469
4.8,0.91,0,7,0,0.711
2.28,0.43,2,1,0.3,0.65
1.57,0.76,1,0,0.6,0.75
2.21,0.61,0,3,0,0.958
1.81,0.91,0,6,0,0.97
4.15,0.98,3,4,0.3,0.524
3.16,0.58,1,2,0.3,0.694
2.71,0.73,0,0,0,0.924
4.68,0.82,1,0,1,0.345
3.09,0.64,0,6,0,0.82
1.33,0.49,0,1,0,0.951
3.12,0.48,0,1,0,0.848
2.18,0.43,0,0,0,0.888
4.74,0.82,0,4,0,0.736
3.01,0.44,2,1,1,0.423
4.06,0.46,0,2,0,0.78
1.95,0.65,1,5,0.6,0.666
1.49,0.83,0,2,0,1
3.39,0.52,2,1,0.3,0.639
4.19,0.77,0,2,0,0.748
3.69,0.9,0,4,0,0.838
3.62,0.89,0,6,0,0.81
2.39,0.88,0,0,0,0.955
3.02,0.69,1,0,0.6,0.605
3.49,0.73,0,5,0,0.827
5,0.44,0,4,0,0.681
2.72,0.87,0,4,0,0.932
4.73,0.97,0,7,0,0.722
4.37,0.86,1,0,1,0.384
4.86,0.53,0,4,0,0.72
4.58,0.66,0,1,0,0.773
4.55,0.87,1,1,0.3,0.584
2.69,0.88,0,2,0,0.916
3.21,0.94,0,0,0,0.894
4.52,0.4,0,4,0,0.68
3.23,0.53,0,2,0,0.807
3.88,0.85,1,1,0.6,0.531
4.96,0.73,0,6,0,0.698
4.54,0.86,0,1,0,0.8
4.4,0.4,0,1,0,0.748
1.15,0.69,0,7,0,0.994
3.47,0.51,0,0,0,0.819
2.57,0.92,0,1,0,0.957
2.18,0.78,2,4,0.3,0.74
1.1,0.82,0,7,0,1
4.79,0.93,2,4,1,0.318
4.48,0.88,0,7,0,0.773
3.59,0.86,2,2,0.6,0.524
3.62,0.52,0,3,0,0.83
2.54,0.94,0,5,0,0.9
1.84,0.53,0,0,0,0.974
3.13,0.53,2,1,0.3,0.662
3.94,0.63,0,2,0,0.761
4.61,0.6,0,1,0,0.763
4.83,0.99,1,4,0.6,0.488
2.91,0.82,0,5,0,0.908
1.23,0.72,1,6,0.3,0.851
4.65,0.7,0,3,0,0.776
3.77,0.86,0,4,0,0.8
3.5,0.47,0,7,0,0.781
4.72,0.89,0,2,0,0.714
2.34,0.84,0,6,0,0.949
1.35,0.68,0,5,0,1
1.63,0.84,0,4,0,0.976
4.8,0.76,0,7,0,0.737
4.28,0.49,0,0,0,0.763
2.89,0.46,0,2,0,0.863
1.52,0.83,0,7,0,0.967
2.11,0.74,0,4,0,0.93
4.11,0.8,0,6,0,0.825
4.53,0.42,0,3,0,0.718
2.82,0.59,0,6,0,0.888
3.22,0.44,0,6,0,0.792
1.11,0.95,0,7,0,1
1.96,0.46,0,2,0,0.949
4.12,0.95,0,5,0,0.837
2.12,0.77,2,6,0.6,0.63
1.53,0.56,0,3,0,0.995
4.62,0.5,1,4,1,0.341
3.07,0.69,3,0,0.3,0.616
4.8,0.79,2,0,0.6,0.414
2.48,0.62,0,6,0,0.884
4.93,0.49,2,7,0.6,0.368
4.55,0.63,0,5,0,0.765
1.92,0.54,0,1,0,0.939
1.01,0.72,1,7,0.3,0.879
4.74,0.98,1,6,0.3,0.582
3.5,0.65,0,0,0,0.808
4.93,0.66,0,0,0,0.677
4.8,0.62,0,6,0,0.736
2.27,0.65,3,5,0.6,0.541
4.23,0.67,0,7,0,0.74
2.74,0.49,1,0,0.3,0.677
1.71,0.96,1,1,0.3,0.881
2.19,0.73,0,4,0,0.963
3.45,0.41,1,5,0.3,0.658
1.72,0.82,0,5,0,1
1.95,0.86,1,3,0.3,0.835
4.39,0.97,0,0,0,0.818
4.46,0.76,1,3,0.3,0.626
4.6,0.75,0,0,0,0.74
2.83,0.45,0,5,0,0.888
1.05,0.68,2,1,0.3,0.835
2.65,0.55,0,4,0,0.881
3.61,0.75,0,7,0,0.807
4.75,0.98,0,6,0,0.781
4.05,0.94,0,0,0,0.816
4.67,0.62,0,3,0,0.694
2.03,0.81,0,0,0,0.938
2.47,0.9,0,2,0,0.961
1.25,0.98,0,6,0,1
3.6,0.83,0,7,0,0.797
1.22,0.53,0,4,0,0.97
2.84,0.72,1,5,0.3,0.749
2.74,0.64,3,0,0.6,0.51
4.61,0.41,0,3,0,0.704
2.82,0.57,0,3,0,0.905
2.24,0.54,0,0,0,0.928
1.45,0.73,0,6,0,1
3.49,0.82,0,1,0,0.868
2,0.81,0,1,0,0.941
1.11,0.44,0,6,0,1
2.11,0.71,0,6,0,0.937
2.22,0.8,0,3,0,0.928
1.16,0.51,1,7,0.3,0.868
4.82,0.48,0,7,0,0.673
1.85,0.98,0,6,0,0.998
4.41,0.81,0,7,0,0.795
1.3,0.69,0,2,0,0.972
3.17,0.81,0,7,0,0.834
3.66,0.52,0,6,0,0.814
1.99,0.98,1,0,0.3,0.813
3.18,0.49,0,2,0,0.816
3.53,0.84,0,2,0,0.881
4.16,0.98,1,6,0.3,0.659
3.52,0.88,0,7,0,0.837
2.76,0.81,1,4,0.3,0.746
1.28,0.67,0,5,0,0.98
3.51,0.8,0,4,0,0.801
3.91,0.48,0,1,0,0.805
4,0.54,0,4,0,0.76
4.46,0.72,0,6,0,0.755
1.48,0.76,0,6,0,0.975
2.89,0.73,0,2,0,0.899
4.13,0.59,0,4,0,0.739
4.42,0.83,1,0,0.6,0.538
2.61,0.42,1,7,0.3,0.721
2.51,0.83,2,3,0.3,0.691
1.86,0.55,0,3,0,0.945
1.61,0.85,0,4,0,0.971
2.84,0.42,0,2,0,0.811
3.64,0.51,0,5,0,0.764
3.35,0.98,0,2,0,0.871
3.78,0.43,1,7,1,0.365
1.98,0.78,0,5,0,0.966
1.89,0.42,2,2,0.3,0.688
